#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng,Symbol,Date_datetime
2003,Peloton,New York City,USA,North America,784.0,2022-08-12,13.0,6031.0,5247.0,Fitness,Post-IPO,$1900,2022,40.71427,-74.00597,PTON,2022-08-12
1998,Blend,San Francisco Bay Area,USA,North America,220.0,2022-08-15,12.0,1833.0,1613.0,Finance,Post-IPO,$665,2022,37.77493,-122.41942,BLND,2022-08-15
1976,Wayfair,Boston,USA,North America,870.0,2022-08-19,5.0,17400.0,16530.0,Retail,Post-IPO,,2022,42.35843,-71.05977,W,2022-08-19
1960,Reali,San Francisco Bay Area,USA,North America,140.0,2022-08-24,100.0,140.0,0.0,Real Estate,Series B,$117,2022,37.77493,-122.41942,CREX,2022-08-24
1961,Loop,Washington DC,USA,North America,15.0,2022-08-24,20.0,75.0,60.0,Finance,Series A,$24,2022,38.89511,-77.03637,LPTV,2022-08-24
1932,Snap,Los Angeles,USA,North America,1280.0,2022-08-31,20.0,6400.0,5120.0,Consumer,Post-IPO,$4900,2022,34.05223,-118.24368,SNAP,2022-08-31
1933,GoodRx,Los Angeles,USA,North America,140.0,2022-08-31,16.0,875.0,735.0,Healthcare,Post-IPO,$910,2022,34.05223,-118.24368,GDRX,2022-08-31
1879,Twilio,San Francisco Bay Area,USA,North America,800.0,2022-09-14,11.0,7273.0,6473.0,Other,Post-IPO,$614,2022,37.77493,-122.41942,TWLO,2022-09-14
1874,LivePerson,New York City,USA,North America,193.0,2022-09-15,11.0,1755.0,1562.0,Support,Post-IPO,$42,2022,40.71427,-74.00597,LPSN,2022-09-15
1862,Compass,New York City,USA,North America,271.0,2022-09-20,6.691358024691358,4050.0,3779.0,Real Estate,Post-IPO,$1600,2022,40.71427,-74.00597,COMP,2022-09-20
1846,DocuSign,San Francisco Bay Area,USA,North America,671.0,2022-09-28,9.0,7456.0,6785.0,Sales,Post-IPO,$536,2022,37.77493,-122.41942,DOCU,2022-09-28
1830,8x8,San Francisco Bay Area,USA,North America,200.0,2022-10-04,9.0,2222.0,2022.0,Support,Post-IPO,$253,2022,37.28717,-121.9499,EGHT,2022-10-04
